question number|question|numbers
5|Par année, violences physiques et/ou sexuelles par conjoint ou ex-conjoint.|200000
6|Pas de poursuite judiciaire en dessous de|8 jours 
9|Combien d’enfants sont victime de violences sexuelles|20%
11|Combien d'hommes sur 25 sont susceptibles d'agresser sexuellement un enfant?|4%
