question number|question|numbers
0|Quel pourcentage de femmes ont été victimes de harcèlement sexuel dans un lieu public ?|51%
1|Combien de victimes d’exhibitionnismes chaque année ?|560000
2|Quel pourcentage de femmes sont confrontés à des comportements sexistes dans le monde du travail ?|70%
3|Quel pourcentage des viols sont commis par une personne connue de la victime ?|81%
4|En France, quel pourcentage de viol reste impunis ?|79%
7|Quel pourcentage de pensions alimentaires serait impayé ?|30%
7|Quel pourcentage de plainte pour violence conjugales est classé sans suite ?|70%
8|Combien d’enfants en France témoins de violences conjugales ?|2000000
10|Combien de mineurs, chaque année, subissent des viols ou tentatives de viols ?|50000 
